Frequency,Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
1000,9,24,128,5,32,0.1587665832042694
1000,9,32,128,5,32,0.16186808705329894
1000,9,40,128,5,32,0.285981547832489
1000,9,48,128,5,32,0.2946469581127167
1000,9,56,128,5,32,0.3000000357627869
1000,9,64,128,5,32,0.3022516596317291
1000,9,72,128,5,32,0.4228047096729279
1000,9,80,128,5,32,0.4317187011241913
1000,9,88,128,5,32,0.43707666635513304
1000,9,96,128,5,32,0.4409612059593201
1000,9,104,128,5,32,0.5550568330287934
1000,9,112,128,5,32,0.5673846793174744
1000,9,120,128,5,32,0.5750635683536529
1000,9,128,128,5,32,0.5781656301021576
1000,9,136,128,5,32,0.6940399587154389
1000,9,144,128,5,32,0.7042987322807313
1000,9,152,128,5,32,0.7116887295246124
